id;region;price;year;manufacturer;model;condition;cylinders;fuel;odometer;transmission;drive;size;type;paint_color;state
7316617180;las vegas;28900;2014;tesla;model s;excellent;;electric;94000;automatic;rwd;;sedan;white;nv
7316617541;houston;31983;2013;tesla;model s;;;electric;59056;automatic;rwd;full-size;sedan;;tx
7316628516;los angeles;49985;2019;jaguar;i-pace;;;electric;8322;automatic;4wd;mid-size;SUV;black;ca
7316644856;tampa bay area;33995;2015;tesla;model s 70;excellent;;electric;55210;automatic;rwd;;sedan;grey;fl
7316647429;washington  DC;28990;2019;kia;niro ev ex wagon 4d;good;;electric;10965;automatic;fwd;;wagon;white;dc
7316648448;madison;55995;2017;tesla;model x 75d;;other;electric;42989;automatic;4wd;;SUV;grey;wi
7316649013;lynchburg;33261;2014;tesla;model s;excellent;other;electric;92050;other;rwd;full-size;sedan;blue;va
7316652107;quad cities  IA/IL;17500;2017;chevrolet;volt;excellent;;electric;60000;automatic;;compact;hatchback;grey;il
7316653500;cleveland;8000;1968;;Austin Countryman;good;other;electric;68000;automatic;fwd;sub-compact;SUV;white;oh
7316658876;phoenix;19287;2019;nissan;leaf;;;electric;2698;automatic;fwd;;sedan;;az
7316659961;fort collins / north CO;54750;2014;tesla;model s p85d;like new;other;electric;64750;automatic;4wd;full-size;sedan;red;co
7316660154;chicago;59900;2016;tesla;model x;;;electric;52681;automatic;4wd;;SUV;red;il
7316661292;reno / tahoe;29990;2013;tesla;model s sedan 4d;good;;electric;59613;other;rwd;;sedan;blue;ca
7316661360;reno / tahoe;28990;2018;bmw;i3 s w/range extender;good;;electric;12514;other;rwd;;hatchback;blue;ca
7316664734;phoenix;19287;2018;nissan;leaf;;;electric;18867;automatic;fwd;;sedan;;az
7316666010;washington  DC;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;dc
7316671372;SF bay area;31990;2019;kia;niro ev ex wagon 4d;good;;electric;8392;other;fwd;;wagon;;ca
7316680942;washington  DC;28990;2018;bmw;i3 s w/range extender;good;;electric;12514;other;rwd;;hatchback;blue;dc
7316680992;washington  DC;37590;2014;tesla;model s sedan 4d;good;;electric;63727;other;rwd;;sedan;;dc
7316686061;minneapolis / st paul;29990;2013;tesla;model s sedan 4d;good;;electric;59613;other;rwd;;sedan;blue;mn
7316686070;portland;28990;2019;kia;niro ev ex wagon 4d;good;;electric;10965;automatic;fwd;;wagon;white;or
7316695872;atlanta;20952;2018;nissan;leaf;;;electric;20625;automatic;fwd;mid-size;hatchback;white;ga
7316696577;atlanta;52900;2015;tesla;model sp90d;like new;;electric;40000;automatic;rwd;full-size;sedan;white;ga
7316696872;los angeles;28590;2019;kia;niro ev ex wagon 4d;good;;electric;10230;other;fwd;;wagon;silver;ca
7316696975;redding;29990;2013;tesla;model s sedan 4d;good;;electric;59613;other;rwd;;sedan;blue;ca
7316702363;western massachusetts;29990;2013;tesla;model s sedan 4d;good;;electric;59613;other;rwd;;sedan;blue;ma
7316702521;chicago;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;il
7316702696;new york city;25590;2019;hyundai;ioniq plug-in hybrid;good;;electric;21536;other;fwd;;hatchback;white;ny
7316707837;south florida;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;fl
7316710081;palm springs;2800;2010;;Club cart 4vseater;excellent;other;electric;1000;automatic;;sub-compact;convertible;green;ca
7316711522;palm springs;4400;2004;;Yamaha  4 seat;like new;other;electric;1000;automatic;;sub-compact;convertible;red;ca
7316713349;palm springs;5199;2010;;club car precedent prec 48v;excellent;other;electric;1000;automatic;;sub-compact;convertible;blue;ca
7316713665;jacksonville;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;fl
7316716078;boise;9495;2015;fiat;500;;;electric;30671;automatic;fwd;;sedan;;id
7316717213;palm springs;2800;2005;;Club car 2 seat;excellent;other;electric;1000;automatic;;sub-compact;convertible;white;ca
7316719481;louisville;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;ky
7316719813;los angeles;1800;2017;chevrolet;volt premier;;;electric;33653;automatic;;;;;ca
7316721033;seattle-tacoma;28999;2012;tesla;model s performance;;;electric;83530;automatic;rwd;;sedan;;wa
7316731603;dallas / fort worth;23990;2017;audi;a4 ultra premium sedan 4d;good;;electric;19421;other;fwd;;sedan;blue;tx
7316737494;phoenix;28990;2019;kia;niro ev ex wagon 4d;good;;electric;7666;other;fwd;;wagon;white;az
7316750392;portland;228;2018;kia;soul ev ev auto;;;electric;18810;automatic;fwd;;sedan;;or
7316753041;phoenix;15899;2016;bmw;i3;like new;4 cylinders;electric;37838;automatic;fwd;sub-compact;sedan;grey;az
7316758149;SF bay area;22994;2018;chevrolet;bolt ev;;;electric;6895;automatic;fwd;mid-size;hatchback;red;ca
7316762254;san diego;361;2013;tesla;model s performance;;;electric;95911;automatic;rwd;;sedan;;ca
7316762587;albuquerque;18590;2019;nissan;leaf s hatchback 4d;good;;electric;19188;other;fwd;;hatchback;;nm
7316768908;portland;25881;2020;nissan;leaf;;;electric;608;;fwd;;hatchback;black;or
7316769385;los angeles;34343;2018;tesla;model 3;excellent;;electric;21833;automatic;;;sedan;black;ca
7316777148;portland;193;2016;kia;soul ev 5dr wgn +;;;electric;32417;automatic;fwd;;sedan;;or
7316786864;portland;219;2018;nissan;leaf s;;;electric;23802;manual;fwd;;hatchback;;or
7316789380;denver;43495;2014;tesla;model s;excellent;;electric;47718;automatic;4wd;full-size;sedan;black;co
7316792418;phoenix;43999;2016;cadillac;escalade;excellent;8 cylinders;electric;77204;automatic;rwd;;SUV;grey;az
7316793938;boston;13500;2017;nissan;leaf sv;like new;other;electric;15000;other;fwd;mid-size;hatchback;silver;ma
7316794271;kansas city  MO;6995;2012;nissan;leaf;excellent;;electric;57518;automatic;fwd;;hatchback;blue;ks
7316794380;chicago;3100;2010;toyota;prius;;;electric;1;automatic;fwd;;sedan;;il
7316797275;baltimore;74995;2016;tesla;model s;;;electric;27782;other;;;sedan;blue;md
7316801699;phoenix;29999;2013;tesla;s;good;other;electric;61467;automatic;rwd;;sedan;blue;az
7316804283;bakersfield;5995;2011;nissan;leaf;new;;electric;52396;automatic;fwd;mid-size;hatchback;silver;ca
7316811585;north jersey;32995;2018;bmw;x5;;;electric;29215;automatic;4wd;;SUV;blue;nj
7316811650;orange county;17500;2016;bmw;i3;;;electric;20075;automatic;rwd;;hatchback;silver;ca
7316814918;orlando;30990;2013;tesla;model s performance sedan;good;;electric;92418;other;rwd;;sedan;;fl
